"measure","value"
"events","247406"
"classes","18"
"largest_class","Crinia signifera"
"largest_class_share_percent","35.3815"
"smallest_class","Litoria infrafrenata"
"smallest_class_share_percent","0.8706"
"largest_to_smallest_ratio","40.6388"
"top_3_classes_share_percent","60.6546"
"top_5_classes_share_percent","71.7844"
"shannon_entropy_bits","3.2142"
"maximum_entropy_bits","4.1699"
"normalised_entropy","0.7708"
"effective_number_of_classes","9.2805"
"gini_impurity","0.8225"
