n_species,n_events,pct_events
1,301378,55.57536876229746
2,130252,24.01901576102691
3,60925,11.234825839454016
4,29652,5.467953316232918
5,12955,2.3889564013151707
6,4816,0.8880906235996806
7,1608,0.2965219523979
8,485,0.0894360366374263
9,145,0.02673860889160168
10,45,0.008298188966359142
11,20,0.0036880839850485076
12,5,9.220209962621269e-4
13,1,1.8440419925242537e-4
