coordinateUncertaintyInMeters,n
5,102674
10,44393
65,27336
10000,25185
3.900000095367432,20259
6.000906205260658,16809
20,16650
165,10697
16,9191
3,8344
4,7794
30,7503
8.001208273680877,7277
6,6861
8,6422
12,5826
24,5491
32,5239
35,5013
3.535533905932737,4760
4.000604136840439,3577
16.00241654736175,3511
9.64799976348877,3377
12.00181241052132,3280
50,3237
3.7899999618530273,2908
48,2843
98.4000015258789,2441
92.9000015258789,2352
87.5999984741211,2242
