"year","total_variation_distance","partial_year"
2017,0.348732856589244,TRUE
2018,0.107475169838884,FALSE
2019,0.1133283123841,FALSE
2020,0.0390402172050956,FALSE
2021,0.0377046032527306,FALSE
2022,0.0522490082164291,FALSE
2023,0.0785699430706645,TRUE
