"pair_species_1","pair_species_2","cooccurring_events","events_with_species_1","events_with_species_2","cooccurrence_jaccard","geographic_jaccard_05deg","geographic_overlap_coefficient_05deg","geographic_jaccard_1deg","geographic_overlap_coefficient_1deg"
"Limnodynastes peronii","Litoria pyrina",1964,62882,10767,0.0273976424635558,0.236162361623616,0.576576576576577,0.254098360655738,0.584905660377358
"Crinia georgiana","Litoria moorei",290,7027,4090,0.0267848896277824,0.442622950819672,0.818181818181818,0.448275862068966,0.8125
"Litoria caerulea","Litoria quiritatus",510,15655,4163,0.026413921690491,0.0756013745704467,0.578947368421053,0.06875,0.647058823529412
"Crinia parinsignifera","Litoria ewingii",1173,28526,19577,0.0249946729171106,0.0673400673400673,0.172413793103448,0.105263157894737,0.25
"Litoria quiritatus","Litoria verreauxii",601,4163,21582,0.023902322621699,0.276785714285714,0.815789473684211,0.340909090909091,0.882352941176471
"Limnodynastes peronii","Litoria quiritatus",1555,62882,4163,0.023744083066117,0.154185022026432,0.921052631578947,0.158415841584158,0.941176470588235
"Limnodynastes tasmaniensis","Litoria fallax",2201,46652,48745,0.0236168934289025,0.192872117400419,0.676470588235294,0.264550264550265,0.806451612903226
"Adelotus brevis","Litoria gracilenta",524,12091,11743,0.0224796224796225,0.453488372093023,0.78,0.5,0.863636363636364
"Litoria ewingii","Litoria peronii",1490,19577,50213,0.0218155197657394,0.11614730878187,0.353448275862069,0.164285714285714,0.479166666666667
"Litoria infrafrenata","Litoria pyrina",210,1446,10767,0.0174956260934766,0.135593220338983,0.695652173913043,0.137931034482759,0.615384615384615
"Litoria gracilenta","Litoria infrafrenata",225,11743,1446,0.0173557543967911,0.166666666666667,0.608695652173913,0.170731707317073,0.538461538461538
"Litoria caerulea","Litoria peronii",1092,15655,50213,0.0168580955909596,0.274193548387097,0.432727272727273,0.293269230769231,0.530434782608696
"Limnodynastes tasmaniensis","Litoria caerulea",999,46652,15655,0.0162947739283617,0.246478873239437,0.509090909090909,0.318725099601594,0.519480519480519
"Crinia parinsignifera","Litoria gracilenta",625,28526,11743,0.0157653112703057,0.108433734939759,0.36,0.141414141414141,0.4
"Crinia parinsignifera","Litoria pyrina",591,28526,10767,0.0152705286548499,0.118279569892473,0.297297297297297,0.139130434782609,0.30188679245283
"Adelotus brevis","Crinia signifera",1500,12091,89084,0.0150489089541008,0.115606936416185,0.8,0.120967741935484,0.681818181818182
"Adelotus brevis","Litoria verreauxii",496,12091,21582,0.0149501160442475,0.183206106870229,0.48,0.230769230769231,0.545454545454545
"Crinia signifera","Litoria quiritatus",1256,89084,4163,0.0136535095824592,0.109792284866469,0.973684210526316,0.135593220338983,0.941176470588235
"Crinia parinsignifera","Litoria caerulea",576,28526,15655,0.0132094943240454,0.205063291139241,0.402985074626866,0.247311827956989,0.58974358974359
"Litoria fallax","Litoria quiritatus",683,48745,4163,0.0130780277644806,0.183673469387755,0.710526315789474,0.196969696969697,0.764705882352941
"Limnodynastes tasmaniensis","Litoria pyrina",717,46652,10767,0.0126450566117597,0.105691056910569,0.468468468468468,0.15,0.566037735849057
"Litoria caerulea","Litoria infrafrenata",204,15655,1446,0.0120731490797183,0.0604982206405694,0.739130434782609,0.0636942675159236,0.769230769230769
"Litoria peronii","Litoria pyrina",670,50213,10767,0.0111092687779804,0.114613180515759,0.36036036036036,0.150684931506849,0.415094339622642
"Limnodynastes tasmaniensis","Litoria quiritatus",543,46652,4163,0.010801241247613,0.0704545454545455,0.815789473684211,0.0837988826815642,0.882352941176471
"Litoria gracilenta","Litoria peronii",515,11743,50213,0.00838202503214466,0.12779552715655,0.533333333333333,0.153846153846154,0.571428571428571
"Adelotus brevis","Litoria pyrina",183,12091,10767,0.00807056229327453,0.166666666666667,0.46,0.19047619047619,0.545454545454545
"Limnodynastes tasmaniensis","Litoria gracilenta",455,46652,11743,0.00785295132896099,0.0948275862068965,0.586666666666667,0.145945945945946,0.771428571428571
"Litoria fallax","Litoria infrafrenata",371,48745,1446,0.0074468085106383,0.0816326530612245,0.521739130434783,0.0869565217391304,0.461538461538462
"Litoria gracilenta","Litoria quiritatus",115,11743,4163,0.0072826293458299,0.0660377358490566,0.184210526315789,0.0612244897959184,0.176470588235294
"Adelotus brevis","Litoria caerulea",194,12091,15655,0.00704123112659698,0.173285198555957,0.96,0.135483870967742,0.954545454545455
"Adelotus brevis","Crinia parinsignifera",251,12091,28526,0.00621810434524104,0.115555555555556,0.52,0.149425287356322,0.590909090909091
"Limnodynastes dumerilii","Litoria fallax",409,24066,48745,0.00564901522057402,0.0859598853868195,0.220588235294118,0.172932330827068,0.370967741935484
"Adelotus brevis","Litoria quiritatus",86,12091,4163,0.00531914893617021,0.128205128205128,0.263157894736842,0.114285714285714,0.235294117647059
"Crinia signifera","Litoria gracilenta",440,89084,11743,0.0043830376443165,0.096,0.48,0.117647058823529,0.457142857142857
"Crinia signifera","Litoria caerulea",346,89084,15655,0.00331439847499353,0.177263969171484,0.334545454545455,0.183406113537118,0.358974358974359
"Limnodynastes dumerilii","Litoria quiritatus",92,24066,4163,0.00326971603227068,0.060377358490566,0.421052631578947,0.11,0.647058823529412
"Litoria ewingii","Litoria fallax",202,19577,48745,0.00296535525543159,0.0413223140495868,0.0862068965517241,0.0784313725490196,0.166666666666667
"Litoria caerulea","Litoria verreauxii",61,15655,21582,0.00164084355498171,0.117647058823529,0.380952380952381,0.132947976878613,0.547619047619048
"Limnodynastes peronii","Litoria infrafrenata",93,62882,1446,0.00144780882696349,0.051063829787234,0.521739130434783,0.0560747663551402,0.461538461538462
"Crinia parinsignifera","Litoria quiritatus",40,28526,4163,0.00122515237832705,0.052863436123348,0.315789473684211,0.117647058823529,0.588235294117647
"Litoria gracilenta","Litoria verreauxii",32,11743,21582,0.000961163007238759,0.104294478527607,0.226666666666667,0.166666666666667,0.314285714285714
"Litoria ewingii","Litoria quiritatus",22,19577,4163,0.000927565562020406,0.0476190476190476,0.184210526315789,0.0833333333333333,0.294117647058824
"Adelotus brevis","Limnodynastes tasmaniensis",53,12091,46652,0.00090304992332595,0.0853932584269663,0.76,0.111731843575419,0.909090909090909
"Limnodynastes dumerilii","Litoria caerulea",17,24066,15655,0.000428168446504131,0.072463768115942,0.1440329218107,0.112107623318386,0.265957446808511
"Adelotus brevis","Limnodynastes dumerilii",11,12091,24066,0.000304321363359708,0.0173611111111111,0.1,0.045045045045045,0.227272727272727
"Crinia signifera","Litoria pyrina",7,89084,10767,7.01093706181643e-05,0.0592417061611374,0.225225225225225,0.0828025477707006,0.245283018867925
"Litoria pyrina","Litoria verreauxii",2,10767,21582,6.18295359693325e-05,0.0640394088669951,0.123809523809524,0.0919540229885057,0.19047619047619
"Limnodynastes dumerilii","Litoria gracilenta",2,24066,11743,5.58550004189125e-05,0.00632911392405063,0.0266666666666667,0.032,0.114285714285714
"Adelotus brevis","Crinia georgiana",0,12091,7027,0,0,0,0,0
"Adelotus brevis","Crinia glauerti",0,12091,11734,0,0,0,0,0
"Crinia georgiana","Crinia parinsignifera",0,7027,28526,0,0,0,0,0
"Crinia glauerti","Crinia parinsignifera",0,11734,28526,0,0,0,0,0
"Crinia georgiana","Crinia signifera",0,7027,89084,0,0,0,0,0
"Crinia glauerti","Crinia signifera",0,11734,89084,0,0,0,0,0
"Crinia georgiana","Limnodynastes dumerilii",0,7027,24066,0,0,0,0,0
"Crinia glauerti","Limnodynastes dumerilii",0,11734,24066,0,0,0,0,0
"Crinia georgiana","Limnodynastes peronii",0,7027,62882,0,0,0,0,0
"Crinia glauerti","Limnodynastes peronii",0,11734,62882,0,0,0,0,0
"Crinia georgiana","Limnodynastes tasmaniensis",0,7027,46652,0,0,0,0,0
"Crinia glauerti","Limnodynastes tasmaniensis",0,11734,46652,0,0,0,0,0
"Crinia georgiana","Litoria caerulea",0,7027,15655,0,0,0,0,0
"Crinia glauerti","Litoria caerulea",0,11734,15655,0,0,0,0,0
"Adelotus brevis","Litoria ewingii",0,12091,19577,0,0,0,0,0
"Crinia georgiana","Litoria ewingii",0,7027,19577,0,0,0,0,0
"Crinia glauerti","Litoria ewingii",0,11734,19577,0,0,0,0,0
"Litoria caerulea","Litoria ewingii",0,15655,19577,0,0.00256410256410256,0.00862068965517241,0.01,0.0416666666666667
"Crinia georgiana","Litoria fallax",0,7027,48745,0,0,0,0,0
"Crinia glauerti","Litoria fallax",0,11734,48745,0,0,0,0,0
"Crinia georgiana","Litoria gracilenta",0,7027,11743,0,0,0,0,0
"Crinia glauerti","Litoria gracilenta",0,11734,11743,0,0,0,0,0
"Litoria ewingii","Litoria gracilenta",0,19577,11743,0,0,0,0,0
"Adelotus brevis","Litoria infrafrenata",0,12091,1446,0,0,0,0,0
"Crinia georgiana","Litoria infrafrenata",0,7027,1446,0,0,0,0,0
"Crinia glauerti","Litoria infrafrenata",0,11734,1446,0,0,0,0,0
"Crinia parinsignifera","Litoria infrafrenata",0,28526,1446,0,0,0,0,0
"Crinia signifera","Litoria infrafrenata",0,89084,1446,0,0,0,0,0
"Limnodynastes dumerilii","Litoria infrafrenata",0,24066,1446,0,0,0,0,0
"Limnodynastes tasmaniensis","Litoria infrafrenata",0,46652,1446,0,0.0021978021978022,0.0434782608695652,0.0106382978723404,0.153846153846154
"Litoria ewingii","Litoria infrafrenata",0,19577,1446,0,0,0,0,0
"Adelotus brevis","Litoria moorei",0,12091,4090,0,0,0,0,0
"Crinia parinsignifera","Litoria moorei",0,28526,4090,0,0,0,0,0
"Crinia signifera","Litoria moorei",0,89084,4090,0,0,0,0,0
"Limnodynastes dumerilii","Litoria moorei",0,24066,4090,0,0,0,0,0
"Limnodynastes peronii","Litoria moorei",0,62882,4090,0,0,0,0,0
"Limnodynastes tasmaniensis","Litoria moorei",0,46652,4090,0,0,0,0,0
"Litoria caerulea","Litoria moorei",0,15655,4090,0,0.00303951367781155,0.0181818181818182,0.00558659217877095,0.0384615384615385
"Litoria ewingii","Litoria moorei",0,19577,4090,0,0,0,0,0
"Litoria fallax","Litoria moorei",0,48745,4090,0,0,0,0,0
"Litoria gracilenta","Litoria moorei",0,11743,4090,0,0,0,0,0
"Litoria infrafrenata","Litoria moorei",0,1446,4090,0,0,0,0,0
"Crinia georgiana","Litoria peronii",0,7027,50213,0,0,0,0,0
"Crinia glauerti","Litoria peronii",0,11734,50213,0,0,0,0,0
"Litoria infrafrenata","Litoria peronii",0,1446,50213,0,0,0,0,0
"Litoria moorei","Litoria peronii",0,4090,50213,0,0,0,0,0
"Crinia georgiana","Litoria pyrina",0,7027,10767,0,0,0,0,0
"Crinia glauerti","Litoria pyrina",0,11734,10767,0,0,0,0,0
"Limnodynastes dumerilii","Litoria pyrina",0,24066,10767,0,0.00854700854700855,0.027027027027027,0.027972027972028,0.0754716981132075
"Litoria ewingii","Litoria pyrina",0,19577,10767,0,0,0,0,0
"Litoria moorei","Litoria pyrina",0,4090,10767,0,0,0,0,0
"Crinia georgiana","Litoria quiritatus",0,7027,4163,0,0,0,0,0
"Crinia glauerti","Litoria quiritatus",0,11734,4163,0,0,0,0,0
"Litoria infrafrenata","Litoria quiritatus",0,1446,4163,0,0,0,0,0
"Litoria moorei","Litoria quiritatus",0,4090,4163,0,0,0,0,0
"Litoria pyrina","Litoria quiritatus",0,10767,4163,0,0,0,0,0
"Crinia georgiana","Litoria verreauxii",0,7027,21582,0,0,0,0,0
"Crinia glauerti","Litoria verreauxii",0,11734,21582,0,0,0,0,0
"Litoria infrafrenata","Litoria verreauxii",0,1446,21582,0,0,0,0,0
"Litoria moorei","Litoria verreauxii",0,4090,21582,0,0,0,0,0
