scientificName,clean_single_species_events,selected,epbc_listed,epbc_category,epbc_match_status,epbc_listed_subordinate_taxa
Limnodynastes interioris,119,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Pseudophryne semimarmorata,113,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria jervisiensis,112,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria freycineti,107,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria wilcoxii,107,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Paracrinia haswelli,106,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria sibilus,104,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cyclorana australis,103,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Austrochaperina fryi,101,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Crinia bilingua,101,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia altissima,89,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia saxatilis,87,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia crassa,81,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria serrata,79,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Heleioporus albopunctatus,76,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria cyclorhyncha,62,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Mixophyes carbinensis,57,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Myobatrachus gouldii,53,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cyclorana maini,51,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria nigrofrenata,48,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Crinia subinsignifera,46,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Austrochaperina gracilipes,44,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Neobatrachus pictus,40,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Neobatrachus kunapalari,39,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Limnodynastes superciliaris,34,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia tyleri,31,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria citropa,30,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Platyplectrum spenceri,30,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Lechriodus fletcheri,29,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Pseudophryne occidentalis,29,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Austrochaperina adelphe,28,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Crinia nimbus,26,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Anstisia rosea,25,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Heleioporus barycragus,25,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria lesueuri,24,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria microbelos,24,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria pallida,23,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cyclorana novaehollandiae,22,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria coplandi,22,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria watjulumensis,20,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia lithomoda,20,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia mimula,19,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia borealis,16,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia talpa,14,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria tornieri,13,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria bella,12,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Notaden bennettii,12,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Anstisia lutea,11,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Neobatrachus sutor,11,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Heleioporus psammophilus,10,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia russelli,10,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cyclorana cultripes,9,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Crinia flindersensis,8,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cyclorana alboguttata,8,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria meiriana,8,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Neobatrachus wilsmorei,8,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia littlejohni,8,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cyclorana longipes,7,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Mixophyes schevilli,7,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Neobatrachus aquilonius,7,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria cavernicola,6,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Notaden nichollsi,5,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia mjobergii,5,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Limnodynastes lignarius,4,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria electrica,4,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria gilleni,4,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Arenophryne xiphorhyncha,3,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Crinia riparia,3,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cyclorana maculosa,3,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cyclorana platycephala,3,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria aurifera,3,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria splendida,3,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Heleioporus inornatus,2,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria staccato,2,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cyclorana brevipes,1,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cyclorana occidentalis,1,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria eucnemis,1,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Neobatrachus albipes,1,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Neobatrachus pelobatoides,1,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Notaden melanoscaphus,1,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia trachyderma,1,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cophixalus bombiens,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cophixalus exiguus,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cophixalus hinchinbrookensis,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cophixalus infacetus,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cophixalus kulakula,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cophixalus saxatilis,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cyclorana cryptotis,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cyclorana manya,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Cyclorana vagitus,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
