scientificName,epbc_match_status,epbc_listed,epbc_category,conservation_group,selected_for_model,raw_occurrence_rows,clean_occurrence_rows,raw_events,raw_single_species_events,open_location_events,precision_eligible_events,no_generalization_events,clean_events,clean_single_species_events,retention_raw_to_clean_percent,retention_raw_single_to_clean_single_percent
Neobatrachus pictus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,145,140,145,40,142,140,142,140,40,96.55172413793103,100
Neobatrachus sudellae,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1811,1636,1811,214,1698,1636,1698,1636,198,90.33683048039757,92.5233644859813
Neobatrachus sutor,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,41,41,41,11,41,41,41,41,11,100,100
Neobatrachus wilsmorei,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,19,19,19,8,19,19,19,19,8,100,100
Notaden bennettii,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,220,213,220,12,219,213,219,213,12,96.81818181818181,100
Notaden melanoscaphus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,395,298,395,1,306,298,306,298,1,75.44303797468355,100
Notaden nichollsi,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,84,84,84,5,84,84,84,84,5,100,100
Notaden weigeli,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,7,7,7,0,7,7,7,7,0,100,NA
Papurana daemeli,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,692,653,692,432,684,653,684,653,411,94.36416184971098,95.13888888888889
Paracrinia haswelli,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1548,1440,1548,109,1471,1440,1471,1440,106,93.02325581395348,97.24770642201835
Philoria knowlesi,exact_listed_name,TRUE,Endangered,confirmed_EPBC_listed,FALSE,1,0,1,1,0,0,0,0,0,0,0
Philoria kundagungan,exact_listed_name,TRUE,Endangered,confirmed_EPBC_listed,FALSE,39,0,39,38,0,0,0,0,0,0,0
Philoria loveridgei,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,159,0,159,122,0,0,0,0,0,0,0
Philoria pughi,exact_listed_name,TRUE,Endangered,confirmed_EPBC_listed,FALSE,26,0,26,24,0,0,0,0,0,0,0
Philoria richmondensis,exact_listed_name,TRUE,Endangered,confirmed_EPBC_listed,FALSE,5,0,5,5,0,0,0,0,0,0,0
Philoria sphagnicola,exact_listed_name,TRUE,Vulnerable,confirmed_EPBC_listed,FALSE,72,0,72,70,0,0,0,0,0,0,0
Platyplectrum ornatum,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,6475,6230,6475,730,6407,6230,6407,6230,714,96.21621621621621,97.8082191780822
Platyplectrum spenceri,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,87,87,87,30,87,87,87,87,30,100,100
Pseudophryne australis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2445,2207,2445,1862,2436,2207,2436,2207,1699,90.26584867075664,91.24597207303974
Pseudophryne bibronii,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1663,0,1663,876,0,0,0,0,0,0,0
Pseudophryne coriacea,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2811,2666,2811,1577,2791,2666,2791,2666,1504,94.84169334756315,95.3709575142676
Pseudophryne dendyi,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,185,0,185,91,0,0,0,0,0,0,0
Pseudophryne douglasi,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,14,0,14,14,0,0,0,0,0,0,0
Pseudophryne guentheri,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,859,820,859,392,859,820,859,820,376,95.45983701979046,95.91836734693878
Pseudophryne major,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,577,0,577,321,0,0,0,0,0,0,0
Pseudophryne occidentalis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,42,38,42,31,42,38,42,38,29,90.47619047619048,93.54838709677419
Pseudophryne raveni,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1355,1280,1355,786,1343,1280,1343,1280,751,94.4649446494465,95.5470737913486
Pseudophryne robinsoni,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,9,0,9,8,0,0,0,0,0,0,0
Pseudophryne semimarmorata,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,199,187,199,120,199,187,199,187,113,93.96984924623115,94.16666666666667
Rhinella marina,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,8219,7953,8219,1128,8162,7953,8162,7953,1108,96.7635965445918,98.22695035460993
Spicospina flammocaerulea,exact_listed_name,TRUE,Vulnerable,confirmed_EPBC_listed,FALSE,7,0,7,0,0,0,0,0,0,0,NA
Taudactylus liemi,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,9,0,9,9,0,0,0,0,0,0,0
Uperoleia altissima,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,943,885,943,93,942,885,942,885,89,93.84941675503711,95.6989247311828
Uperoleia arenicola,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1,1,1,0,1,1,1,1,0,100,NA
Uperoleia aspera,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,50,48,50,0,50,48,50,48,0,96,NA
Uperoleia borealis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,82,82,82,16,82,82,82,82,16,100,100
Uperoleia crassa,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1296,1088,1296,81,1130,1088,1130,1088,81,83.95061728395062,100
Uperoleia daviesae,exact_listed_name,TRUE,Vulnerable,confirmed_EPBC_listed,FALSE,202,0,202,1,0,0,0,0,0,0,0
Uperoleia fusca,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,8912,8553,8912,432,8814,8553,8814,8553,423,95.971723518851,97.91666666666667
Uperoleia glandulosa,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,3,3,3,0,3,3,3,3,0,100,NA
Uperoleia laevigata,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,9218,8881,9218,444,9134,8881,9134,8881,428,96.34410935126925,96.3963963963964
Uperoleia lithomoda,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,432,422,432,20,431,422,431,422,20,97.68518518518519,100
Uperoleia littlejohni,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,59,58,59,8,59,58,59,58,8,98.30508474576271,100
Uperoleia mahonyi,exact_listed_name,TRUE,Endangered,confirmed_EPBC_listed,FALSE,69,0,69,0,0,0,0,0,0,0,NA
Uperoleia martini,exact_listed_name,TRUE,Endangered,confirmed_EPBC_listed,FALSE,34,0,34,0,0,0,0,0,0,0,NA
Uperoleia micra,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,4,4,4,0,4,4,4,4,0,100,NA
Uperoleia mimula,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,315,304,315,19,315,304,315,304,19,96.5079365079365,100
Uperoleia minima,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,22,22,22,0,22,22,22,22,0,100,NA
Uperoleia mjobergii,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,68,67,68,5,68,67,68,67,5,98.52941176470588,100
Uperoleia rugosa,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2569,2447,2569,139,2557,2447,2557,2447,135,95.25107045543012,97.12230215827338
Uperoleia russelli,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,11,11,11,10,11,11,11,11,10,100,100
Uperoleia saxatilis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,95,94,95,88,95,94,95,94,87,98.94736842105263,98.86363636363636
Uperoleia stridera,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,5,5,5,0,5,5,5,5,0,100,NA
Uperoleia talpa,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,64,62,64,14,64,62,64,62,14,96.875,100
Uperoleia trachyderma,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,20,20,20,1,20,20,20,20,1,100,100
Uperoleia tyleri,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,752,682,752,31,704,682,704,682,31,90.69148936170212,100
