"distance_bin","cell_pairs","median_composition_tvd","q25_composition_tvd","q75_composition_tvd","mean_composition_tvd","same_dominant_species_percent"
"<50",450,0.273543300203909,0.165021896084011,0.487416844729191,0.341396695261219,62.2222222222222
"50-100",2045,0.346727734069547,0.198717948717949,0.576923076923077,0.403280656170945,56.3325183374083
"100-250",13044,0.5,0.294871833114585,0.747273875455095,0.520279553660324,45.4615148727384
"250-500",31057,0.692307692307692,0.404761904761905,0.89622641509434,0.640749862315553,33.4964742248124
"500-1000",69925,0.8,0.5,0.965189873417721,0.709543945536785,28.1501608866643
"1000-2000",88364,0.972999509081983,0.80952380952381,1,0.855680370800975,12.8864696030057
"2000+",85056,1,1,1,0.973323764842672,2.1574021820918
