species,events,percent_of_extension,percent_of_ineligible
Litoria watjulumensis,4,0.001872001872001872,0.004632149433140713
Uperoleia aspera,4,0.001872001872001872,0.004632149433140713
Uperoleia minima,4,0.001872001872001872,0.004632149433140713
Uperoleia stridera,4,0.001872001872001872,0.004632149433140713
Litoria larisonans,3,0.001404001404001404,0.0034741120748555347
Myobatrachus gouldii,3,0.001404001404001404,0.0034741120748555347
Uperoleia borealis,3,0.001404001404001404,0.0034741120748555347
Crinia flindersensis,2,9.36000936000936e-4,0.0023160747165703564
Cyclorana maculosa,2,9.36000936000936e-4,0.0023160747165703564
Heleioporus albopunctatus,2,9.36000936000936e-4,0.0023160747165703564
Litoria splendida,2,9.36000936000936e-4,0.0023160747165703564
Neobatrachus albipes,2,9.36000936000936e-4,0.0023160747165703564
Limnodynastes depressus,1,4.68000468000468e-4,0.0011580373582851782
Litoria coplandi,1,4.68000468000468e-4,0.0011580373582851782
Litoria meiriana,1,4.68000468000468e-4,0.0011580373582851782
Metacrinia nichollsi,1,4.68000468000468e-4,0.0011580373582851782
Mixophyes carbinensis,1,4.68000468000468e-4,0.0011580373582851782
Neobatrachus aquilonius,1,4.68000468000468e-4,0.0011580373582851782
Uperoleia talpa,1,4.68000468000468e-4,0.0011580373582851782
Uperoleia trachyderma,1,4.68000468000468e-4,0.0011580373582851782
