"species","events","share","share_percent","cumulative_share","cumulative_percent"
"Crinia signifera",87536,0.353815186373815,35.3815186373815,0.353815186373815,35.3815186373815
"Limnodynastes peronii",45042,0.18205702367768,18.205702367768,0.535872210051494,53.5872210051494
"Litoria fallax",17485,0.0706733062253947,7.06733062253947,0.606545516276889,60.6545516276889
"Litoria peronii",14867,0.060091509502599,6.0091509502599,0.666637025779488,66.6637025779488
"Limnodynastes tasmaniensis",12669,0.0512073272273106,5.12073272273106,0.717844353006798,71.7844353006798
"Litoria caerulea",12397,0.0501079197755915,5.01079197755915,0.76795227278239,76.795227278239
"Litoria ewingii",9345,0.0377719214570382,3.77719214570382,0.805724194239428,80.5724194239428
"Limnodynastes dumerilii",7720,0.0312037703208491,3.12037703208491,0.836927964560277,83.6927964560277
"Crinia glauerti",7179,0.0290170812348933,2.90170812348933,0.865945045795171,86.5945045795171
"Adelotus brevis",5489,0.0221862040532566,2.21862040532566,0.888131249848427,88.8131249848427
"Litoria quiritatus",4579,0.0185080394169907,1.85080394169907,0.906639289265418,90.6639289265418
"Litoria pyrina",4566,0.0184554942079012,1.84554942079012,0.925094783473319,92.5094783473319
"Litoria gracilenta",4393,0.0177562387330946,1.77562387330946,0.942851022206414,94.2851022206414
"Crinia parinsignifera",3917,0.0158322756925863,1.58322756925863,0.958683297899,95.8683297899
"Litoria moorei",3579,0.0144661002562589,1.44661002562589,0.973149398155259,97.3149398155259
"Litoria verreauxii",2334,0.00943388600114791,0.943388600114791,0.982583284156407,98.2583284156407
"Crinia georgiana",2155,0.00871037889137693,0.871037889137693,0.991293663047784,99.1293663047784
"Litoria infrafrenata",2154,0.0087063369522162,0.870633695221619,1,100
