species_a,species_b,cooccurring_events,events_with_a,events_with_b,jaccard,percent_of_a,percent_of_b
Litoria quiritatus,Litoria verreauxii,601,4163,21582,0.023902322621699015,14.436704299783809,2.7847280140858124
Crinia parinsignifera,Litoria pyrina,591,28526,10767,0.01527052865484988,2.0717941527027977,5.488994148787963
Crinia parinsignifera,Litoria caerulea,576,28526,15655,0.013209494324045407,2.019210544766178,3.679335675503034
Limnodynastes tasmaniensis,Litoria quiritatus,543,46652,4163,0.010801241247612985,1.1639372374174741,13.043478260869565
Adelotus brevis,Litoria gracilenta,524,12091,11743,0.02247962247962248,4.333802001488711,4.4622328195520735
Litoria gracilenta,Litoria peronii,515,11743,50213,0.00838202503214466,4.3855914161628204,1.0256308127377372
Litoria caerulea,Litoria quiritatus,510,15655,4163,0.026413921690490987,3.257745129351645,12.250780687004564
Adelotus brevis,Litoria verreauxii,496,12091,21582,0.014950116044247522,4.102224795302291,2.2982114725233993
Limnodynastes tasmaniensis,Litoria gracilenta,455,46652,11743,0.007852951328960994,0.9753065249078282,3.8746487269011327
Crinia signifera,Litoria gracilenta,440,89084,11743,0.004383037644316495,0.49391585469893584,3.746913054585711
Limnodynastes dumerilii,Litoria fallax,409,24066,48745,0.005649015220574018,1.6994930607496053,0.8390604164529696
Litoria fallax,Litoria infrafrenata,371,48745,1446,0.007446808510638298,0.7611037029438917,25.656984785615492
Crinia signifera,Litoria caerulea,346,89084,15655,0.003314398474993534,0.38839746755870863,2.2101564995209197
Crinia georgiana,Litoria moorei,290,7027,4090,0.026784889627782395,4.126938949765192,7.090464547677262
Adelotus brevis,Crinia parinsignifera,251,12091,28526,0.006218104345241044,2.075924241171119,0.8798990394727617
Litoria gracilenta,Litoria infrafrenata,225,11743,1446,0.017355754396791115,1.9160350847313292,15.560165975103734
Litoria infrafrenata,Litoria pyrina,210,1446,10767,0.01749562609347663,14.522821576763485,1.9504040122596824
Litoria caerulea,Litoria infrafrenata,204,15655,1446,0.012073149079718293,1.3030980517406578,14.107883817427386
Litoria ewingii,Litoria fallax,202,19577,48745,0.0029653552554315915,1.0318230576697145,0.41440147707457176
Adelotus brevis,Litoria caerulea,194,12091,15655,0.0070412311265969805,1.604499214291622,1.2392206962631747
Adelotus brevis,Litoria pyrina,183,12091,10767,0.008070562293274531,1.5135224547183856,1.699637782112009
Litoria gracilenta,Litoria quiritatus,115,11743,4163,0.0072826293458299034,0.9793068210849016,2.7624309392265194
Limnodynastes peronii,Litoria infrafrenata,93,62882,1446,0.0014478088269634934,0.14789605928564614,6.431535269709544
Limnodynastes dumerilii,Litoria quiritatus,92,24066,4163,0.0032697160322706755,0.38228205767472784,2.2099447513812156
