"feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22"
"BIO1",-0.294101190030905,-0.1055844693977,-0.0766491032674871,-0.156962483496294,0.124169514985746,0.0688700928133098,0.0463829678901913,0.0441646107816457,-0.104779058618479,-0.148070186724349,0.0313841412042947,-0.0642819410829459,0.142727359274344,-0.0942812962917275,0.210528514786188,0.0955931851187828,0.314044582457013,0.139255181638221,0.00280411200854223,-0.773043512102197,0.105924382364594,1.12997466758273e-07
"BIO2",0.119926731321345,-0.344555605659002,-0.296501629369898,0.118859538427971,0.0515830688392319,-0.01758291047561,-0.328269322466896,-0.086814962574608,0.044684497475487,0.0105928837259287,0.0178383380933068,0.0846701736376272,-0.0893917307901161,-0.218058500837212,-0.144594952082138,-0.0557210601726714,0.223406401010264,0.0637320374928487,0.707950950249555,0.0451103506862766,0.0154880482554067,-1.13099784219427e-08
"BIO3",-0.188113305251826,-0.19373850480162,-0.117828256939879,0.0417636332641402,-0.416047196569649,0.0724463521866442,-0.619497416864851,-0.27200188000637,0.0767109296793543,-0.226117030986092,0.0629385780397859,-0.0114749638802582,0.136818015652798,0.305810822510151,0.155378612607897,0.0730027875793034,-0.168768593511302,-0.0608094040982132,-0.200161584401076,-0.0166597254298928,-0.00216014768860275,9.52950225620119e-09
"BIO4",0.213924956073894,-0.209108521079519,-0.250892437955125,0.10636850660264,0.364808975014437,-0.0149386939888158,0.121405097591979,0.0629827821539729,-0.0445406602971431,0.19323148930733,0.0721630166419657,0.0513505955027475,0.108524322207007,0.416494371908165,0.394801279705844,0.17432447680292,-0.318978432843113,-0.124219596037265,0.131052217318545,-0.113993823374332,-0.343828201216051,7.93611809684533e-08
"BIO5",-0.151547498664882,-0.367364361176328,-0.107770478226899,0.00428129902879138,0.298651489289639,-0.0355282173089053,-0.0318656185587135,0.161226492801117,-0.00792929906224148,-0.140707537710615,-0.147282630943438,-0.155482454469079,0.111303450646293,-0.0116337359368046,-0.483901943216738,-0.20238581368971,-0.252533989568201,-0.158264034768957,-0.198492321666946,-0.0602648337950126,0.0121848001303468,-0.477080502994332
"BIO6",-0.296709621668767,0.00549133543361591,0.174940947799081,-0.123411760365361,0.036026197950598,0.0290050617033941,0.0875308233604703,0.0876624554096982,-0.0436968523653723,-0.170463923297577,-0.0449130495644954,-0.136068901437568,0.184700510670306,0.206687990713221,-0.273332743931787,-0.102584272083786,-0.288088951543006,-0.172379028365811,0.350192016508936,-0.0347253983992414,0.0275973409674082,0.630661089530048
"BIO7",0.187589795602112,-0.291989689550354,-0.264245801422632,0.130491940138832,0.195656566068124,-0.0575762963349149,-0.115022512748389,0.0353420774521149,0.0388419724454758,0.0659638029076173,-0.0685199662695308,0.0190096316945326,-0.103550436659945,-0.222024701444292,-0.0955404266180302,-0.052048180680977,0.0999965884193914,0.0542530727316487,-0.515523062197299,-0.0111927955112617,-0.018937058950818,0.612095404177647
"BIO8",-0.230662637883508,0.0397827699103306,-0.333438919616159,-0.24991794190961,0.00449848677230382,0.201856730183898,0.111759022469538,-0.128508804009828,-0.276396186893317,-0.0671109764906963,0.162189692234554,0.0763403152534917,-0.737256266365699,0.145886369829675,-0.0631372455527282,-0.0749754800071536,-0.114858487997698,-0.0249363091178377,-0.0217455810030292,0.00228628909840132,-0.0062358740652534,-2.11122549510354e-08
"BIO9",-0.0996688268972676,-0.207138281243282,0.442188811897783,0.0812322231066107,0.179038211156732,-0.245022858547959,-0.129887858295533,0.362864417184085,0.339570166846071,-0.310485392961118,0.241563810329458,0.225751115269391,-0.387621943545653,0.0657705165056114,0.160095336914474,0.0514901627926984,0.0133038859361438,0.0151500442020092,0.00478288129906337,0.00900339960779502,0.00185920131507128,-1.60780936860767e-08
"BIO10",-0.255853466420023,-0.193507393930574,-0.140226834252068,-0.136293085268195,0.266531357969371,0.0671698023880545,0.083009228938827,0.0700340142327394,-0.132547864706749,-0.0924018162684405,0.00353268664987968,-0.08085274810999,0.195102781729073,0.0725392944142397,0.310615880466361,0.132843011976364,0.148401566518422,0.12586551867069,-0.0208829223512822,0.544742388747904,0.49633632235104,-1.55995525071987e-07
"BIO11",-0.306410658019298,-0.0507054281924274,0.0217843793542398,-0.153775713357945,0.0319997534239706,0.0604179339385297,0.00631773308414832,0.023177754397714,-0.0796257761485165,-0.171768719833878,-0.016502034224803,-0.0833826506467405,0.11114484027653,-0.142722131762594,0.0291939033334136,0.0218325413972784,0.273266926089108,0.124908865266863,-0.0357643985115219,0.288624700515537,-0.788788115625375,7.47888347227867e-08
"BIO12",-0.230544953831566,0.254737619951617,-0.106488116995919,0.222535232005497,0.136020330353909,0.0893118206321494,-0.169840074437347,0.0712423998750095,0.128275512599287,0.0880877956420311,0.173478919538674,-0.368452148946947,-0.0664249961850869,-0.421836319538169,0.341927535870027,-0.211464331856616,-0.132552712500799,-0.455940736535579,0.0302923739560934,0.0161342877217211,0.00331454686630804,-1.65139461890803e-08
"BIO13",-0.273268276528869,0.0871529089304815,-0.0379014079632714,0.328513205733125,0.00404766101064395,0.0927833633439423,-0.0361850320479153,0.13259519179494,0.131654102759059,0.215467308539958,-0.447761203242047,-0.0517349612965398,-0.198423832755761,0.280016976495512,-0.155677291479208,0.413373652863291,0.349825219612419,-0.280409062724951,0.0017389723282033,0.000667354073833254,0.00497163438528903,5.07277381418529e-09
"BIO14",0.0810869342112605,0.386752281474995,-0.199697493691327,-0.137109122780276,0.242160892809046,-0.0325858412729528,-0.172208384817275,0.037097378777896,0.067641679152899,-0.316684091875834,-0.395149184182021,0.453564778331023,0.0941914975803578,0.12321782489656,0.131926562028419,-0.383900216872738,0.122122010581148,-0.154736612692855,-0.00180293179003108,0.0017708728407404,-0.00188415945474336,-9.41927585454189e-09
"BIO15",-0.24212710451583,-0.175524942030432,0.148980273369915,0.26865131312884,-0.0186898664137518,0.235892695912029,0.174185280378893,-0.216000941755937,-0.174617894282043,-0.0123399472483086,-0.0700817761640758,0.621568522634322,0.10117375672782,-0.368543739823458,0.0409317279760924,0.168802639213523,-0.235016292869135,-0.171737078096631,-0.0168816978956039,0.00445115731708701,0.00641936642236049,1.36384835583016e-08
"BIO16",-0.275443780507104,0.1020621206311,-0.0364876111477349,0.319175968251806,0.0192293864093085,0.0960230917403113,-0.0546434972140683,0.107638556978792,0.117144189683841,0.159547918660313,-0.291685290284239,-0.0387138632399406,-0.0876555320430425,0.0083353682276037,0.111210421439725,-0.229683942504082,-0.31576414452297,0.695549847534143,0.0540590537212297,-0.0313971240197452,-0.0175974245332378,4.49618627968726e-10
"BIO17",0.0521431880908634,0.400820307022995,-0.197516150531927,-0.10236072107673,0.262891734377104,-0.0154624249451414,-0.219937638222652,0.0296083272725293,0.0974286439811757,-0.224544363537955,0.111779832488276,0.00720669879193291,0.0481055871201119,-0.209179528858515,-0.229059304753389,0.624965220569554,-0.272127653212133,0.181112697575185,0.00993224825406117,0.000354837233584,0.000561834927780895,2.42305387259976e-08
"BIO18",-0.245694680504502,0.162877654117235,-0.259061541087418,0.136294830274325,-0.0401075118440043,0.0500439786331285,0.0184410396862789,0.239570482209356,0.154254060684987,0.270667010468905,0.579688489965989,0.325057833777034,0.257313067349782,0.1826348696485,-0.257954434746826,-0.152857283696322,0.173526773001278,0.0407868630830286,-0.0715021955151874,0.0203318535833299,0.00632748264024847,-4.56584609984605e-09
"BIO19",0.0444272880766943,0.122618832004327,0.381687597978028,0.229584330648906,0.514825085739245,0.221613878307731,-0.226871072909838,-0.476188379533311,-0.184107920092791,0.0354797708318454,0.19220309873348,-0.0875865026626961,-0.0132136463668772,0.201214737100055,-0.13280394637628,-0.111968302266295,0.178067750282551,0.0880316583770841,-0.0445656351533937,-0.0113838673734845,0.00599188605395841,-2.88124166101757e-09
"elevation",0.163058930293669,0.0418301630635709,-0.211670218411535,0.532906164190561,-0.12713666104536,0.126846736233823,0.394304406513739,-0.0577330604418188,0.0622251274549089,-0.62286887081203,0.113913216215347,-0.16442444591255,0.0174599582227681,0.089701152103078,-0.0223870513442017,-0.0242231577921063,0.0930371191881982,0.0381899730198514,0.0146168350305946,0.0136293869383687,0.00194147068205001,-1.32077462272716e-10
"climatological_tavg_event_month",-0.229973465846282,-0.0420977586584844,-0.114576287435756,-0.131195707057718,0.112271176575643,-0.338622113990159,0.286883818359366,-0.590320488160023,0.593432910019402,0.0639569154968632,-0.0198912856150314,-0.0033318340250437,-0.00950068683731511,0.00188363496086603,-0.00789504858253021,-0.00827465717792633,-0.00758759378051149,-0.00230763670859613,-0.00128994626837522,0.000731824603067525,9.00763282248741e-05,-2.08992525527305e-10
"climatological_prec_event_month",-0.18936674951962,0.122838401299547,-0.0675367609356285,0.267145115694525,-0.0204283607844931,-0.781017841331277,-0.0476910229203689,-0.0699492916389717,-0.504251251575838,-0.0161949076600471,0.0247647121791962,0.0128439781187849,-0.00549677358143176,0.0101265265190909,0.0012624100476978,0.00934119039871771,0.00350353366521044,-0.000471601591283854,0.00239416383677545,-3.08254511061368e-05,-9.87874086876405e-05,-2.51817581579111e-10
