scope,count_type,reason,occurrence_rows,events,denominator_events,percent_events,stage_order,events_remaining,scope_overlap,occurrence_basis
confirmed_EPBC_listed,sequential,complete_species,0,0,6749,0,1,6749,non_exclusive; mixed_taxon_events_overlap_scopes,all_source_rows_of_events_excluded_at_this_stage
confirmed_EPBC_listed,sequential,valid_coordinates,0,0,6749,0,2,6749,non_exclusive; mixed_taxon_events_overlap_scopes,all_source_rows_of_events_excluded_at_this_stage
confirmed_EPBC_listed,sequential,positive_uncertainty_at_most_1000m,17892,6749,6749,100,3,0,non_exclusive; mixed_taxon_events_overlap_scopes,all_source_rows_of_events_excluded_at_this_stage
confirmed_EPBC_listed,sequential,open_geoprivacy,0,0,6749,0,4,0,non_exclusive; mixed_taxon_events_overlap_scopes,all_source_rows_of_events_excluded_at_this_stage
confirmed_EPBC_listed,sequential,no_data_generalization,0,0,6749,0,5,0,non_exclusive; mixed_taxon_events_overlap_scopes,all_source_rows_of_events_excluded_at_this_stage
confirmed_EPBC_listed,sequential,valid_event_date,0,0,6749,0,6,0,non_exclusive; mixed_taxon_events_overlap_scopes,all_source_rows_of_events_excluded_at_this_stage
not_confirmed_listed_or_unresolved,non_exclusive,negative_coordinate_uncertainty,13,7,540647,0.0012947449999722554,NA,NA,non_exclusive; mixed_taxon_events_overlap_scopes,direct_failing_source_rows_in_scope_events
not_confirmed_listed_or_unresolved,non_exclusive,zero_coordinate_uncertainty,13,9,540647,0.0016646721428214713,NA,NA,non_exclusive; mixed_taxon_events_overlap_scopes,direct_failing_source_rows_in_scope_events
not_confirmed_listed_or_unresolved,non_exclusive,nonpositive_coordinate_uncertainty,26,16,540647,0.0029594171427937267,NA,NA,non_exclusive; mixed_taxon_events_overlap_scopes,direct_failing_source_rows_in_scope_events
not_confirmed_listed_or_unresolved,non_exclusive,uncertainty_over_1000m,46632,21217,540647,3.924372094915906,NA,NA,non_exclusive; mixed_taxon_events_overlap_scopes,direct_failing_source_rows_in_scope_events
