"conservation_group","species_count","raw_events","clean_events","raw_single_species_events","clean_single_species_events","retention_percent","selected_species_count","group_label"
"confirmed_EPBC_listed",24,6749,0,1627,0,0,0,"Confirmed EPBC-listed"
"not_confirmed_listed_or_unresolved",192,540647,519414,299751,291103,96.0726684879413,18,"Other / unresolved"
