"grid_size_degrees","scientificName","occupied_blocks","block_entropy_bits","effective_blocks","largest_block_share_percent","top_5_blocks_share_percent","median_events_per_occupied_block","events"
0.25,"Crinia signifera",978,7.67414709021097,204.243604019959,3.50370133430817,16.0482544324621,16,87536
0.25,"Limnodynastes peronii",496,6.08068806932184,67.6814264263233,14.9083078016074,31.8369521779672,7,45042
0.25,"Litoria fallax",318,6.32764613737742,80.3177047892594,5.76494137832428,25.1701458392908,7,17485
0.25,"Litoria peronii",566,5.55095072920728,46.8816268630715,21.1071500638999,46.6200309410103,3,14867
0.25,"Limnodynastes tasmaniensis",931,7.76743780314485,217.887225218675,6.00678822322204,22.6695082484805,3,12669
0.25,"Litoria caerulea",482,6.82161082994944,113.112207602235,10.3089457126724,23.43308865048,3.5,12397
0.25,"Litoria ewingii",265,5.89242522506765,59.4014080965015,13.5687533440342,38.12734082397,6,9345
0.25,"Limnodynastes dumerilii",534,7.0460284226414,132.149616005541,10.9974093264249,23.8212435233161,3.5,7720
0.25,"Crinia glauerti",64,2.27654522422394,4.84516307694293,67.6695918651623,86.474439336955,11,7179
0.25,"Adelotus brevis",111,4.98554709758795,31.6810247789015,12.4977227181636,40.4445254144653,7,5489
0.25,"Litoria quiritatus",89,4.6550554898963,25.1948242916692,15.7676348547718,50.1856300502293,9,4579
0.25,"Litoria pyrina",208,5.86635360652193,58.3375788287405,11.4323258869908,31.5374507227332,4,4566
0.25,"Litoria gracilenta",168,5.85028199971068,57.6913052689727,6.39653994992033,28.7958115183246,7,4393
0.25,"Crinia parinsignifera",427,7.11441741538514,138.564839706351,8.27163645647179,24.2021955578249,3,3917
0.25,"Litoria moorei",96,3.25657987827986,9.5571461335142,31.5730651019838,79.7429449566918,3,3579
0.25,"Litoria verreauxii",236,6.62544149751521,98.7317023513164,8.65467009425878,23.350471293916,4,2334
0.25,"Crinia georgiana",65,2.57331076219303,5.95173693924525,65.2436194895592,79.907192575406,5,2155
0.25,"Litoria infrafrenata",42,2.98731384554515,7.92996141144948,50.8820798514392,77.0194986072423,9,2154
0.5,"Crinia signifera",336,6.29631718400606,78.5923608104376,8.73697678669348,31.3014074209468,49,87536
0.5,"Limnodynastes peronii",224,4.93469457269726,30.5837747067133,22.8786465965099,47.3558012521646,12,45042
0.5,"Litoria fallax",136,5.24530712170419,37.9310425916664,9.58535887903918,34.0005719187875,16.5,17485
0.5,"Litoria peronii",278,4.34391729440137,20.3071699907165,35.9386560839443,64.9963005313782,5,14867
0.5,"Limnodynastes tasmaniensis",433,6.63890772704369,99.6575862784522,12.2503749309338,30.5706843476202,6,12669
0.5,"Litoria caerulea",275,5.92393513685979,60.7130664662043,10.446075663467,28.1761716544325,4,12397
0.5,"Litoria ewingii",116,4.52276925162388,22.9873658719118,30.6046013911182,52.4237560192616,11,9345
0.5,"Limnodynastes dumerilii",243,5.82207866811457,56.5744468283207,11.7875647668394,36.7098445595855,7,7720
0.5,"Crinia glauerti",27,1.96376503382629,3.90078648833126,69.2296977294888,89.8035938152946,40,7179
0.5,"Adelotus brevis",50,4.07939249597451,16.905168557591,14.7021315357989,51.2479504463472,17,5489
0.5,"Litoria quiritatus",38,3.50731526938302,11.3712210050955,22.2756060275169,73.1164009609085,28,4579
0.5,"Litoria pyrina",111,4.78874814268799,27.641196136278,15.8782303985983,46.3863337713535,4,4566
0.5,"Litoria gracilenta",75,4.75673288077668,27.0345583099192,12.7475529251081,42.9319371727749,15,4393
0.5,"Crinia parinsignifera",201,6.07666998158805,67.4931873698608,9.08858820525913,30.6867500638244,6,3917
0.5,"Litoria moorei",55,2.57947785982827,5.97723332281354,38.0273819502654,88.5163453478625,4,3579
0.5,"Litoria verreauxii",105,5.57982353454635,47.829325281328,10.2399314481577,32.7763496143959,9,2334
0.5,"Crinia georgiana",33,2.25771937427517,4.7823488583728,65.3828306264501,85.2436194895592,10,2155
0.5,"Litoria infrafrenata",23,2.14051288989343,4.40918768721521,63.0454967502321,89.1364902506964,10,2154
1,"Crinia signifera",117,5.08776901582396,34.0072163831616,12.3709102540669,43.2930451471395,133,87536
1,"Limnodynastes peronii",100,4.01695257642505,16.189119046778,28.5067270547489,61.515918476089,18.5,45042
1,"Litoria fallax",62,4.20036185623385,18.3837841156324,14.2922505004289,53.4686874463826,37.5,17485
1,"Litoria peronii",115,3.55206840882844,11.7294902260997,41.8847111051322,75.7382121477097,16,14867
1,"Limnodynastes tasmaniensis",177,5.55444683424492,46.9953735955083,13.1265293235457,36.253847975373,14,12669
1,"Litoria caerulea",154,4.9963652989484,31.9194812222459,11.2527224328467,40.0903444381705,5,12397
1,"Litoria ewingii",48,3.51984568604528,11.4704150167352,34.1466024612092,69.9197431781702,23.5,9345
1,"Limnodynastes dumerilii",94,4.77466997199524,27.3727783640638,15.0647668393782,48.7564766839378,17.5,7720
