"measure","value"
"species_pairs",153
"spearman_cooccurrence_vs_geographic_jaccard_05deg",0.95461297075809
"spearman_cooccurrence_vs_geographic_overlap_coefficient_05deg",0.906772367882357
"spearman_cooccurrence_vs_geographic_jaccard_1deg",0.948066339556094
"spearman_cooccurrence_vs_geographic_overlap_coefficient_1deg",0.91059323642527
