measure,count,events,percent,cumulative_percent
species_detected,2,115818,54.2028782028782,54.2028782028782
species_detected,3,54482,25.497601497601497,79.7004797004797
species_detected,4,26211,12.266760266760267,91.96723996723998
species_detected,5,11158,5.221949221949222,97.1891891891892
species_detected,6,4056,1.8982098982098983,99.08739908739909
species_detected,7,1346,0.62992862992863,99.71732771732772
species_detected,8,418,0.1956241956241956,99.91295191295191
species_detected,9,127,0.05943605943605944,99.97238797238796
species_detected,10,38,0.017784017784017784,99.99017199017199
species_detected,11,16,0.007488007488007488,99.99765999766
species_detected,12,4,0.001872001872001872,99.999531999532
species_detected,13,1,4.68000468000468e-4,100
target_species_detected,1,40145,18.78787878787879,18.78787878787879
target_species_detected,2,113455,53.096993096993096,71.88487188487188
target_species_detected,3,42027,19.668655668655667,91.55352755352754
target_species_detected,4,14052,6.576342576342577,98.12987012987013
target_species_detected,5,3357,1.571077571077571,99.7009477009477
target_species_detected,6,565,0.2644202644202644,99.96536796536796
target_species_detected,7,68,0.031824031824031825,99.99719199719199
target_species_detected,8,6,0.002808002808002808,100
non_vocabulary_species_detected,0,127322,59.58675558675559,59.58675558675559
non_vocabulary_species_detected,1,60213,28.17971217971218,87.76646776646777
non_vocabulary_species_detected,2,18309,8.568620568620569,96.33508833508834
non_vocabulary_species_detected,3,5071,2.3732303732303732,98.70831870831871
non_vocabulary_species_detected,4,1757,0.8222768222768223,99.53059553059553
non_vocabulary_species_detected,5,673,0.314964314964315,99.84555984555985
non_vocabulary_species_detected,6,242,0.11325611325611326,99.95881595881596
non_vocabulary_species_detected,7,64,0.029952029952029953,99.98876798876799
non_vocabulary_species_detected,8,20,0.00936000936000936,99.998127998128
non_vocabulary_species_detected,9,2,9.36000936000936e-4,99.999063999064
non_vocabulary_species_detected,10,2,9.36000936000936e-4,100.00000000000001
