"grid_size_degrees","occupied_cells","median_events_per_cell","maximum_events_in_one_cell","top_10_cells_event_share_percent","top_1_percent_cells_event_share_percent","single_species_cells_percent","events_in_single_species_cells_percent","weighted_dominant_species_share_percent","conditional_species_entropy_bits","location_species_mutual_information_bits","location_species_information_fraction"
0.25,1872,12,12820,25.6044720014874,37.0710492065673,29.9145299145299,1.56908078219607,51.0072512388544,1.82061144015797,1.39358577468061,0.433571956396147
0.5,762,21,23768,40.1077580980251,36.0124653403717,29.1338582677165,1.18024623493367,48.8193495711503,1.92565217166823,1.28854504317035,0.400891717913787
1,318,25.5,34397,52.5840117054558,32.6515929282232,32.7044025157233,1.08809002206899,47.232484256647,2.01818174148666,1.19601547335192,0.372103948018631
2,132,42,62587,74.8825816673807,36.5023483666524,34.0909090909091,0.948643121023742,45.492833641868,2.12128800631722,1.09290920852136,0.34002556018525
